observation_date,Federal Surplus or Deficit [-] as Percent of Gross Domestic Product,Gross Domestic Product,Real Gross Domestic Product,Producer Prices Index: Economic Activities: Manufacturing: Total for United States,"Population, Total for United States",Estimated Percent of People of All Ages in Poverty for United States,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",Bank Prime Loan Rate,Federal Funds Effective Rate,GINI Index for the United States,Median Age,Percent Investment of GDP in Capital Goods,Percent of People in Agriculture,Percent of GDP Economic Growth,Percent of GDP paid in TAX,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma",Interest Rate on Reserve Balances (IORB Rate),Real Disposable Personal Income: Per Capita,Civilian Labor Force Level,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average,Consumer Price Index for All Urban Consumers: Rent of Primary Residence in U.S. City Average,Federal Funds Effective Rate,Federal Minimum Hourly Wage for Nonfarm Workers for the United States,University of Michigan: Consumer Sentiment,Unemployment Rate,Federal government current expenditures: Subsidies,Federal Debt: Total Public Debt as Percent of Gross Domestic Product,Median Sales Price of Houses Sold for the United States,Federal Debt: Total Public Debt
1913,,,,,,,,,,,,,,,,,,,,9.883333333,,,,,,,,,,
1914,,,,,,,,,,,,,,,,,,,,10.01666667,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,,,10.10833333,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,,,10.88333333,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,,,12.825,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,,,15.04166667,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,,,,17.33333333,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,,,20.04166667,,,,,,,,,,
1921,,,,,,,,,,,,,,,,,,,,17.85,,,,,,,,,,
1922,,,,,,,,,,,,,,,,,,,,16.75,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,,,17.05,,,,,,,,,,
1924,,,,,,,,,,,,,,,,,,,,17.125,,,,,,,,,,
1925,,,,,,,,,,,,,,,,,,,,17.54166667,,,,,,,,,,
1926,,,,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,
1927,,,,,,,,,,,,,,,,,,,,17.35833333,,,,,,,,,,
1928,,,,,,,,,,,,,,,,,,,,17.15833333,,,,,,,,,,
1929,0.70202,104.556,1191.124,,,,,,,,,,,,,,,,,17.15833333,,,,,,,,,,
1930,0.80078,92.160,1089.785,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,
1931,-0.59697,77.391,1019.977,,,,,,,,,,,,,,,,,15.20833333,,,,,,,,,,
1932,-4.59494,59.522,888.414,,,,,,,,,,,,,,,,,13.64166667,,,,,,,,,,
1933,-4.55261,57.154,877.431,,,,,,,,,,,,,,,,,12.93333333,,,,,,,,,,
1934,-5.36826,66.800,972.263,,,,,,,,,,,,,,,,,13.38333333,,,,,,,,,,
1935,-3.77554,74.241,1058.836,,,,,,,,,,,,,,,,,13.725,,,,,,,,,,
1936,-5.07368,84.830,1195.251,,,,,,,,,,,,,,,,,13.86666667,,,,,,,,,,
1937,-2.35799,93.003,1256.503,,,,,,,,,,,,,,,,,14.38333333,,,,,,,,,,
1938,-0.10189,87.352,1214.869,,,,,,,,,,,,,,,,,14.09166667,,,,0.25,,,,,,
1939,-3.04590,93.437,1312.365,,,,,,,,,,,,,,,,,13.90833333,,,,0.2625,,,,,,
1940,-2.83773,102.899,1428.075,,,,,,,,,,,,,,,,,14.00833333,,,,0.3,,,,,,
1941,-3.82108,129.309,1681.049,,,,,,,,,,,,,,,,,14.725,,,,0.3,,,,,,
1942,-12.35478,165.952,1998.542,,,,,,,,,,,,,,,,,16.33333333,,,,0.3,,,,,,
1943,-26.86278,203.084,2338.761,,,,,,,,,,,,,,,,,17.30833333,,,,0.3,,,,,,
1944,-21.18852,224.447,2524.752,,,,,,,,,,,,,,,,,17.59166667,,,,0.3,,,,,,
1945,-20.85594,228.007,2500.057,,,,,,,,,,,,,,,,,17.99166667,,,,0.325,,,,,,
1946,-7.00376,227.535,2209.911,,,,,,,,,,,,,,,,,19.51666667,,,,0.4,,,,,,
1947,1.60967,249.616,2184.614,,,,,,,,,,,,,,,,,22.325,13.54166667,,,0.4,,,0.73525,,,
1948,4.29777,274.468,2274.627,,,,,,,,,,,,,,,,,24.04166667,14.39166667,,,0.4,,3.75,0.8145,,,
1949,0.21286,272.475,2261.928,,,,,,,,,,,,,,,,1.256105,23.80833333,14.83333333,,,0.4,,6.05,0.82175,,,
1950,-1.04027,299.827,2458.532,,,,,,,,,,,,,,,,1.187188333,24.06666667,15.1,,,0.75,,5.208333333,1.197,,,
1951,1.75894,346.914,2656.320,,,,,,,,,,,,,,,,-0.165831667,25.95833333,15.825,,,0.75,,3.283333333,1.448,,,
1952,-0.41351,367.341,2764.803,,,,,,,,,,,,,,,,0.221285,26.55,16.70833333,,,0.75,86.2,3.025,1.17675,,,
1953,-1.66822,389.218,2894.411,,,,,,,,,,,,,,,,1.456251667,26.76666667,17.29166667,,,0.75,84.06666667,2.925,0.9665,,,
1954,-0.29548,390.549,2877.708,,,,,,,,,,,,,,,,0.979856667,26.85,17.825,,1.008333333,0.75,83.96666667,5.591666667,0.8985,,,
1955,-0.70344,425.478,3083.026,,,,,,1.79,,,,,,,,,,2.031734167,26.775,18.25,,1.785,0.75,98.23333333,4.366666667,0.94025,,,
1956,0.87837,449.353,3148.765,,,,,3.77,2.73,,,,,,,,,,2.437498333,27.18333333,18.9,,2.728333333,0.958333333,99.43333333,4.125,1.506,,,
1957,0.71977,474.039,3215.065,,,,,4.20,3.11,,,,,,,,,,0.609066667,28.09166667,19.675,,3.105,1,88.3,4.3,1.8955,,,
1958,-0.57540,481.229,3191.216,,,,,3.83,1.57,,,,,,,,,,1.088258333,28.85833333,20.63333333,,1.5725,1,83.4,6.841666667,2.1225,,,
1959,-2.46313,521.654,3412.421,,,,,4.48,3.31,,,,,,,,,13313.33333,1.018965,29.15,21.49166667,,3.305,1,94.55,5.45,1.058,,,
1960,0.05550,542.382,3500.272,17.2925547,180671000,,,4.82,3.21,,29.5,21.8,,0.89,,,,13387,1.899983333,29.575,22.25833333,,3.215833333,1,95.15,5.541666667,1.146,,,
